Time,control,height
0.253,0,1.586846
0.254,0,1.585045
0.255,0,1.583246
0.256,0,1.581449
0.257,0,1.579653
0.258,0,1.57786
0.259,0,1.576068
0.26,0,1.574278
0.261,0,1.57249
0.262,0,1.570704
0.263,0,1.568919
0.264,0,1.567137
0.265,0,1.565357
0.266,0,1.563579
0.267,0,1.561803
0.268,0,1.560028
0.269,0,1.558256
0.27,0,1.556487
0.271,0,1.554719
0.272,0,1.552954
0.273,0,1.551191
0.274,0,1.54943
0.275,0,1.547671
0.276,0,1.545915
0.277,0,1.544161
0.278,0,1.54241
0.279,0,1.540661
0.28,0,1.538914
0.281,0,1.53717
0.282,0,1.535428
0.283,0,1.533689
0.284,0,1.531953
0.285,0,1.530219
0.286,0,1.528488
0.287,0,1.526759
0.288,0,1.525033
0.289,0,1.52331
0.29,0,1.521589
0.291,0,1.519872
0.292,0,1.518157
0.293,0,1.516444
0.294,0,1.514735
0.295,0,1.513029
0.296,0,1.511325
0.297,0,1.509625
0.298,0,1.507927
0.299,0,1.506233
0.3,0,1.504541
0.301,0,1.502852
0.302,0,1.501167
0.303,0,1.499485
0.304,0,1.497805
0.305,0.005155,1.496129
0.306,0.021948,1.494456
0.307,0.038709,1.492786
0.308,0.055439,1.49112
0.309,0.072137,1.489457
0.31,0.088802,1.487797
0.311,0.105435,1.48614
0.312,0.122034,1.484487
0.313,0.138599,1.482837
0.314,0.15513,1.481191
0.315,0.171627,1.479548
0.316,0.188089,1.477909
0.317,0.204515,1.476274
0.318,0.220906,1.474642
0.319,0.23726,1.473014
0.32,0.253577,1.47139
0.321,0.269858,1.469769
0.322,0.2861,1.468153
0.323,0.302305,1.46654
0.324,0.318472,1.464931
0.325,0.3346,1.463326
0.326,0.350688,1.461725
0.327,0.366737,1.460129
0.328,0.382746,1.458536
0.329,0.398714,1.456947
0.33,0.414642,1.455363
0.331,0.430528,1.453783
0.332,0.446372,1.452207
0.333,0.462174,1.450635
0.334,0.477934,1.449068
0.335,0.49365,1.447505
0.336,0.5,1.445946
0.337,0.5,1.444392
0.338,0.5,1.442843
0.339,0.5,1.441298
0.34,0.5,1.439757
0.341,0.5,1.438221
0.342,0.5,1.43669
0.343,0.5,1.435163
0.344,0.5,1.433641
0.345,0.5,1.432124
0.346,0.5,1.430611
0.347,0.5,1.429103
0.348,0.5,1.4276
0.349,0.5,1.426102
0.35,0.5,1.424608
0.351,0.5,1.423119
0.352,0.5,1.421636
0.353,0.5,1.420156
0.354,0.5,1.418682
0.355,0.5,1.417213
0.356,0.5,1.415749
0.357,0.5,1.41429
0.358,0.5,1.412835
0.359,0.5,1.411386
0.36,0.5,1.409942
0.361,0.5,1.408502
0.362,0.5,1.407068
0.363,0.5,1.405639
0.364,0.5,1.404215
0.365,0.5,1.402797
0.366,0.5,1.401383
0.367,0.5,1.399975
0.368,0.5,1.398572
0.369,0.5,1.397174
0.37,0.5,1.395781
0.371,0.5,1.394394
0.372,0.5,1.393012
0.373,0.5,1.391635
0.374,0.5,1.390264
0.375,0.5,1.388898
0.376,0.5,1.387537
0.377,0.5,1.386182
0.378,0.5,1.384832
0.379,0.5,1.383488
0.38,0.5,1.382149
0.381,0.5,1.380815
0.382,0.5,1.379487
0.383,0.5,1.378165
0.384,0.5,1.376848
0.385,0.5,1.375537
0.386,0.5,1.374231
0.387,0.5,1.372931
0.388,0.5,1.371637
0.389,0.5,1.370348
0.39,0.5,1.369065
0.391,0.5,1.367787
0.392,0.5,1.366516
0.393,0.5,1.36525
0.394,0.5,1.363989
0.395,0.5,1.362735
0.396,0.5,1.361486
0.397,0.5,1.360243
0.398,0.5,1.359006
0.399,0.5,1.357774
0.4,0.5,1.356549
0.401,0.5,1.355329
0.402,0.5,1.354115
0.403,0.5,1.352907
0.404,0.5,1.351705
0.405,0.5,1.350509
0.406,0.5,1.349319
0.407,0.5,1.348135
0.408,0.5,1.346957
0.409,0.5,1.345785
0.41,0.5,1.344618
0.411,0.5,1.343458
0.412,0.5,1.342304
0.413,0.5,1.341156
0.414,0.5,1.340014
0.415,0.5,1.338878
0.416,0.5,1.337748
0.417,0.5,1.336624
0.418,0.5,1.335506
0.419,0.5,1.334395
0.42,0.5,1.33329
0.421,0.5,1.33219
0.422,0.5,1.331097
0.423,0.5,1.330011
0.424,0.5,1.32893
0.425,0.5,1.327855
0.426,0.5,1.326787
0.427,0.5,1.325725
0.428,0.5,1.32467
0.429,0.5,1.32362
0.43,0.5,1.322577
0.431,0.5,1.32154
0.432,0.5,1.32051
0.433,0.5,1.319486
0.434,0.5,1.318468
0.435,0.5,1.317456
0.436,0.5,1.316451
0.437,0.5,1.315453
0.438,0.5,1.31446
0.439,0.5,1.313474
0.44,0.5,1.312495
0.441,0.5,1.311521
0.442,0.5,1.310555
0.443,0.5,1.309594
0.444,0.5,1.308641
0.445,0.5,1.307693
0.446,0.5,1.306752
0.447,0.5,1.305818
0.448,0.5,1.30489
0.449,0.5,1.303968
0.45,0.5,1.303053
0.451,0.5,1.302145
0.452,0.5,1.301243
